author_id,profession,city,religion,h_index,publication_count,domain_diversity,social_influence,primary_domain,secondary_domain,avg_citation_rate,collab_network_size,cross_disciplinary,institutional_rank,soft_skills_score,background_score,friendly_circle_reach,author_cluster,aim_score,temporal_decay_factor
AUTH_0001,entrepreneur,Sydney,christian,14,13,0.767,0.245,mediatech,fintech,29.73,21,True,96,0.453,0.604,3578,emerging_voice,0.2579,0.693
AUTH_0002,lawyer,London,agnostic,9,312,0.671,0.534,spacetech,cleantech,49.48,332,True,702,0.527,0.815,7431,emerging_voice,0.4285,0.46
AUTH_0003,physician,Sydney,buddhist,43,58,0.364,0.158,mediatech,edtech,25.63,59,False,862,0.747,0.687,20132,established_expert,0.2839,0.562
AUTH_0004,cultural_anthropologist,New York,jewish,9,363,0.668,0.229,fintech,mediatech,12.28,347,False,220,0.677,0.779,74947,emerging_voice,0.3924,0.703
AUTH_0005,educator,Seoul,agnostic,54,357,0.962,0.995,edtech,healthtech,15.19,500,True,594,0.815,0.249,41204,established_expert,0.7589,0.34
AUTH_0006,biotech_researcher,Seoul,atheist,69,361,0.372,0.984,biotech,mediatech,15.32,344,True,962,0.915,0.412,14129,thought_leader,0.6932,0.82
AUTH_0007,cultural_anthropologist,Nairobi,hindu,71,209,0.976,0.749,edtech,edtech,44.13,17,True,755,0.947,0.826,54064,thought_leader,0.698,0.862
AUTH_0008,urban_planner,Sydney,hindu,0,267,0.933,0.538,agritech,spacetech,3.96,345,False,639,0.52,0.878,94439,emerging_voice,0.4277,0.93
AUTH_0009,lawyer,Sydney,sikh,9,234,0.473,0.63,govtech,spacetech,12.58,340,True,915,0.826,0.816,14070,emerging_voice,0.3691,0.845
AUTH_0010,physician,Lagos,sikh,53,209,0.398,0.466,spacetech,socialtech,47.33,15,False,489,0.304,0.481,98859,established_expert,0.4628,0.573
AUTH_0011,investor,New York,syncretic,5,387,0.128,0.247,edtech,healthtech,6.75,347,True,578,0.963,0.572,33686,emerging_voice,0.286,0.837
AUTH_0012,biologist,Singapore,sikh,34,316,0.827,0.538,socialtech,cleantech,16.45,130,True,286,0.917,0.395,61010,specialist,0.55,0.699
AUTH_0013,urban_planner,Toronto,atheist,23,99,0.295,0.484,socialtech,cleantech,49.04,431,True,304,0.459,0.344,1954,specialist,0.2858,0.796
AUTH_0014,policy_analyst,Tokyo,muslim,12,391,0.287,0.211,healthtech,edtech,27.82,85,True,419,0.615,0.675,38275,emerging_voice,0.3371,0.323
AUTH_0015,biologist,Cairo,agnostic,34,296,0.136,0.756,cleantech,edtech,49.85,228,False,993,0.364,0.478,43787,specialist,0.4454,0.525
AUTH_0016,urban_planner,Mumbai,atheist,15,332,0.849,0.498,cleantech,spacetech,41.82,246,True,468,0.686,0.507,78661,emerging_voice,0.4879,0.656
AUTH_0017,entrepreneur,Berlin,muslim,12,270,0.919,0.015,fintech,govtech,39.19,140,False,639,0.785,0.72,43165,emerging_voice,0.3638,0.897
AUTH_0018,biologist,São Paulo,syncretic,59,148,0.71,0.158,cleantech,spacetech,34.67,238,False,204,1.0,0.883,14079,established_expert,0.4541,0.466
AUTH_0019,biologist,Stockholm,buddhist,34,85,0.331,0.825,agritech,fintech,23.68,43,True,773,0.977,0.888,95024,specialist,0.3927,0.772
AUTH_0020,economist,Mumbai,secular,53,336,0.189,0.489,agritech,healthtech,22.45,491,True,876,0.554,0.985,48247,established_expert,0.4891,0.681
AUTH_0021,sociologist,Cairo,syncretic,14,382,0.157,0.448,fintech,govtech,25.44,489,True,745,0.848,0.894,68447,emerging_voice,0.361,0.511
AUTH_0022,sociologist,Stockholm,muslim,10,48,0.489,0.745,mediatech,biotech,29.53,292,False,687,0.386,0.483,87307,emerging_voice,0.3058,0.959
AUTH_0023,journalist,Toronto,christian,20,190,0.38,0.324,biotech,edtech,8.29,321,True,691,0.357,0.554,55676,specialist,0.3058,0.64
AUTH_0024,sociologist,Tokyo,sikh,21,317,0.514,0.69,fintech,healthtech,22.07,210,True,406,0.909,0.797,29141,specialist,0.4728,0.533
AUTH_0025,journalist,Toronto,atheist,9,331,0.878,0.855,spacetech,govtech,29.23,493,True,461,0.936,0.657,24772,emerging_voice,0.5436,0.525
AUTH_0026,urban_planner,Seoul,atheist,42,66,0.703,0.829,fintech,spacetech,25.67,14,False,317,0.426,0.371,63836,established_expert,0.4864,0.434
AUTH_0027,entrepreneur,Dubai,buddhist,53,83,0.835,0.801,biotech,govtech,43.77,288,True,729,0.892,0.881,37463,established_expert,0.5542,0.359
AUTH_0028,data_scientist,Tokyo,agnostic,30,215,0.675,0.623,socialtech,mediatech,1.31,268,True,736,0.401,0.543,80684,specialist,0.4721,0.547
AUTH_0029,lawyer,Mumbai,jewish,69,243,0.328,0.753,biotech,agritech,14.02,414,False,448,0.923,0.795,50778,thought_leader,0.5792,0.537
AUTH_0030,entrepreneur,Seoul,agnostic,46,197,0.955,0.032,agritech,agritech,22.47,44,True,543,0.557,0.452,36628,established_expert,0.4569,0.475
AUTH_0031,urban_planner,Sydney,agnostic,78,45,0.159,0.398,mediatech,spacetech,38.57,426,True,129,0.981,0.714,59079,thought_leader,0.4069,0.626
AUTH_0032,economist,Toronto,secular,73,136,0.686,0.767,govtech,mediatech,14.84,494,False,495,0.471,0.846,53327,thought_leader,0.6141,0.508
AUTH_0033,cultural_anthropologist,Dubai,agnostic,45,25,0.145,0.495,cleantech,mediatech,0.9,60,False,138,0.918,0.782,52955,established_expert,0.298,0.556
AUTH_0034,policy_analyst,Tokyo,sikh,38,244,0.834,0.368,socialtech,cleantech,39.94,376,True,612,0.632,0.974,75921,specialist,0.4954,0.704
AUTH_0035,engineer,Stockholm,buddhist,35,286,0.369,0.941,healthtech,govtech,16.19,183,False,295,0.385,0.741,49867,specialist,0.5275,0.927
AUTH_0036,cultural_anthropologist,New York,muslim,73,119,0.582,0.723,spacetech,edtech,46.73,23,False,807,0.647,0.949,38041,thought_leader,0.576,0.914
AUTH_0037,sociologist,Sydney,hindu,74,371,0.616,0.262,biotech,fintech,23.54,86,False,703,0.652,0.916,92316,thought_leader,0.6201,0.839
AUTH_0038,biotech_researcher,Mumbai,secular,58,289,0.152,0.462,spacetech,cleantech,40.91,386,True,593,0.351,0.539,91900,established_expert,0.4703,0.345
AUTH_0039,lawyer,Lagos,christian,78,393,0.943,0.889,fintech,socialtech,2.16,311,True,251,0.818,0.522,30815,thought_leader,0.8359,0.678
AUTH_0040,engineer,Lagos,jewish,53,286,0.577,0.388,fintech,govtech,42.43,52,True,53,0.488,0.739,79126,established_expert,0.5215,0.328
AUTH_0041,economist,Toronto,hindu,53,152,0.237,0.33,govtech,mediatech,32.9,355,False,264,0.834,0.591,94938,established_expert,0.3749,0.749
AUTH_0042,lawyer,Lagos,syncretic,22,55,0.926,0.524,mediatech,cleantech,40.85,141,False,81,0.561,0.525,74155,specialist,0.3945,0.47
AUTH_0043,policy_analyst,Nairobi,atheist,72,124,0.61,0.849,agritech,spacetech,37.9,76,True,513,0.822,0.477,12903,thought_leader,0.6058,0.606
AUTH_0044,physician,Mumbai,sikh,76,307,0.806,0.864,spacetech,fintech,36.38,291,True,586,0.665,0.748,22316,thought_leader,0.7535,0.397
