row_id,idea_title,domain,source_type,source_url,publication_year,citation_count,patent_count,author_id,author_profession,author_city,author_religion,aim_score,k_factor,invite_rate,conversion_rate,viral_cycle_time_days,aha_conversion_24h,invite_initiation_rate,social_proof_multiplier,share_to_value_ratio,friction_coefficient,complexity_score,retention_d1,retention_d7,retention_d30,stickiness_dau_mau,network_density_growth,global_demand_score,cultural_resonance_score,infrastructure_readiness,capital_alignment_score,timing_window_score,emotional_trigger_index,geopolitical_tension,regulatory_disruption,capital_acceleration,shock_amplification_factor,virality_horizon_years,temporal_decay_factor,novelty_score,q1_universal_pain,q2_emotion_trigger,q3_low_friction,q4_network_effect,q5_scalable_economics,q6_cultural_resonance,q7_structural_readiness,q8_capital_alignment,q9_timing_window,q10_author_credibility,virality_composite_score
1,Legal AI Copilot for Unrepresented Litigants,fintech,academic_paper,https://patents.google.com/doc/1,2024,3436,56,AUTH_0001,entrepreneur,Sydney,christian,0.2579,0.3918,2.252,0.174,48.16,0.344,0.359,1.409,0.38,0.869,0.759,0.236,0.144,0.063,0.168,0.763,0.265,0.043,0.459,0.125,0.922,0.079,0.293,0.629,0.885,0.6576,36.23,0.0636,0.343,0.2859670265272128,0.0,0.19265584277362316,0.6838405762843766,0.33990816454857203,0.08058894782960735,0.47402202410596883,0.09927202036997597,0.87625602280544,0.3166661172358177,0.3349
2,On-Chain Scientific Research Funding DAO,socialtech,patent,https://crunchbase.com/doc/2,1992,2584,102,AUTH_0002,lawyer,London,agnostic,0.4285,0.1804,1.346,0.134,56.89,0.263,0.561,2.06,0.247,0.943,0.876,0.367,0.267,0.133,0.553,0.459,0.585,0.898,0.399,0.219,0.998,0.51,0.091,0.047,0.11,0.0839,62.78,0.0,0.0142,0.46238694909879235,0.6228158648053957,0.0,0.4347873266706188,0.2518720898463595,0.8921690541857791,0.38516050481224784,0.1446196532649981,0.9596644567516661,0.41943127777477374,0.4573
3,Cross-Border Micro-Loan Network using DeFi,healthtech,policy_document,https://crunchbase.com/doc/3,2000,4418,199,AUTH_0003,physician,Sydney,buddhist,0.2839,2.5464,4.613,0.552,28.25,0.732,0.079,1.963,0.567,0.599,0.489,0.195,0.113,0.09,0.494,0.239,0.816,0.978,0.533,0.126,0.66,0.947,0.165,0.528,0.607,0.4595,96.44,0.0,0.0304,0.888405084341405,0.9447925911835365,0.34513775604695573,0.26189251997457696,0.5928493549206896,1.0,0.4979856150412634,0.1826692198793444,0.6643947955452257,0.31889123108579925,0.5697
4,Cross-Border Micro-Loan Network using DeFi,biotech,patent,https://patents.google.com/doc/4,2005,3874,104,AUTH_0004,cultural_anthropologist,New York,jewish,0.3924,0.0643,0.96,0.067,22.5,0.249,0.862,2.61,0.339,0.431,0.424,0.497,0.38,0.242,0.591,0.098,0.19,0.449,0.422,0.279,0.25,0.923,0.443,0.861,0.55,0.7324,5.15,0.7036,0.0507,0.21893928457210274,0.9728667032865422,0.580431834499648,0.14731650745355906,0.3845298911107512,0.4665765062515984,0.46108598279431917,0.27538179784893435,0.26170338423296524,0.3385673427717094,0.4107
5,Predictive Mental Health Coach via Wearable Biometrics,biotech,market_report,https://ssrn.com/doc/5,2020,4119,135,AUTH_0005,educator,Seoul,agnostic,0.7589,0.4593,0.796,0.577,9.27,0.419,0.619,1.985,0.595,0.08,0.186,0.606,0.447,0.187,0.116,0.89,0.584,0.523,0.935,0.204,0.716,0.239,0.396,0.672,0.3,0.5358,31.69,0.052,0.226,0.7505134431780885,0.2373829313736925,0.9510174825514401,0.9053795776279255,0.583905715493792,0.6388085673885759,1.0,0.13402601826897226,0.6960076838857392,0.7803168269184144,0.6677
6,Affordable Exoskeleton for Mobility-Impaired Workers,socialtech,legislation_draft,https://scholar.google.com/doc/6,1999,2231,72,AUTH_0006,biotech_researcher,Seoul,atheist,0.6932,1.3111,3.028,0.433,26.51,0.771,0.004,2.694,0.277,0.204,0.634,0.324,0.209,0.157,0.515,0.092,0.637,0.262,0.741,0.552,0.428,0.01,0.075,0.883,0.904,0.6405,54.6,0.0141,0.029,0.6237828766098116,0.016241154503135416,0.7192914202479601,0.1793938176146377,0.29105037267926115,0.2595201773627421,0.6935582491799561,0.6109817635243633,0.40471033281721375,0.6527045243414323,0.4451
7,Bio-Mimetic Water Purification Nano-Filter,socialtech,policy_document,https://openalex.org/doc/7,2005,2185,40,AUTH_0007,cultural_anthropologist,Nairobi,hindu,0.698,0.2915,3.939,0.074,53.86,0.328,0.193,1.91,0.024,0.872,0.859,0.289,0.234,0.124,0.218,0.795,0.864,0.967,0.279,0.641,0.4,0.981,0.536,0.939,0.115,0.681,97.04,0.0008,0.0531,0.9054793648559261,1.0,0.12216950996694097,0.7520111379786707,0.0,0.9299631589929614,0.22977561783575953,0.6842898210627026,0.39766988437447987,0.7765050488786265,0.5798
8,Predictive Mental Health Coach via Wearable Biometrics,cleantech,legislation_draft,https://ssrn.com/doc/8,2022,2533,170,AUTH_0008,urban_planner,Sydney,hindu,0.4277,0.5059,2.048,0.247,8.83,0.287,0.0,2.204,0.548,0.296,0.127,0.457,0.398,0.254,0.547,0.616,0.43,0.58,0.655,0.465,0.442,0.214,0.473,0.901,0.796,0.8512,17.05,0.3673,0.2845,0.3828908771326374,0.2934425622604307,0.7045344605274254,0.5412633519303779,0.5532868292555885,0.6128988180257282,0.6920315038261075,0.4707282394601752,0.34583633301762906,0.442846392323734,0.504
9,Longevity Drug Discovery via Protein Folding AI,govtech,news_article,https://producthunt.com/doc/9,2004,1440,178,AUTH_0009,lawyer,Sydney,sikh,0.3691,0.1038,2.595,0.04,35.52,0.719,0.613,4.8,0.891,0.249,0.848,0.488,0.391,0.248,0.593,0.595,0.505,0.831,0.548,0.897,0.744,0.475,0.259,0.247,0.638,0.4005,76.6,0.0001,0.0486,0.43151294079611935,0.504163656279858,0.7554002775968037,0.640020609378092,0.9070373172432067,0.818238615664781,0.5766757534130034,0.9369051180929747,0.7638949093853091,0.3975233224367534,0.6731
10,Micro-Drone Pollination Network for Failing Ecosystems,agritech,social_post,https://crunchbase.com/doc/10,2016,4409,191,AUTH_0010,physician,Lagos,sikh,0.4628,1.7718,3.676,0.482,33.48,0.981,0.92,3.897,0.841,0.898,0.488,0.332,0.213,0.105,0.418,0.798,0.534,0.907,0.592,0.663,0.084,0.429,0.867,0.182,0.26,0.4837,32.8,0.0337,0.1504,0.5122973691477614,0.5499526468473788,0.01839143580732855,0.8428994231524637,0.7593043187273787,0.9224211112607144,0.7086465174660787,0.7025980165750915,0.08704020851450442,0.4814061278279217,0.5585
